,Name,EntityId,Minutes,OffPoss,DefPoss,Points,OpponentPoints,TsPct,FG2A,FG3A,FTA,Lineup,Team Points,Team FG2M,Team FG2A,Team FG3M,Team FG3A,Team TsPct,Team FTA,Season,Team,PtsPer75,FGA,Team FGA
87,Anthony Edwards,1630162,3,7,7,2,6,0.5,2,0,0,"D'Angelo Russell, Jarred Vanderbilt, Anthony Edwards, Jaden McDaniels, Patrick Beverley",14,2,3,3,4,1.0,2,2021-22,MIN,21.428571428571427,2,7
88,Jaden McDaniels,1630183,3,7,7,6,6,1.0,0,3,0,"D'Angelo Russell, Jarred Vanderbilt, Anthony Edwards, Jaden McDaniels, Patrick Beverley",14,2,3,3,4,1.0,2,2021-22,MIN,64.28571428571429,3,7
89,Patrick Beverley,201976,3,7,7,0,6,0.0,0,0,0,"D'Angelo Russell, Jarred Vanderbilt, Anthony Edwards, Jaden McDaniels, Patrick Beverley",14,2,3,3,4,1.0,2,2021-22,MIN,0.0,0,7
90,Karl-Anthony Towns,1626157,2,5,6,0,7,0.0,1,0,0,"Karl-Anthony Towns, Taurean Prince, Jarred Vanderbilt, Jordan McLaughlin, Patrick Beverley",6,0,2,2,2,0.75,0,2021-22,MIN,0.0,1,4
91,Taurean Prince,1627752,2,5,6,0,7,0.0,0,0,0,"Karl-Anthony Towns, Taurean Prince, Jarred Vanderbilt, Jordan McLaughlin, Patrick Beverley",6,0,2,2,2,0.75,0,2021-22,MIN,0.0,0,4
92,Jarred Vanderbilt,1629020,2,5,6,0,7,0.0,0,0,0,"Karl-Anthony Towns, Taurean Prince, Jarred Vanderbilt, Jordan McLaughlin, Patrick Beverley",6,0,2,2,2,0.75,0,2021-22,MIN,0.0,0,4
93,Jordan McLaughlin,1629162,2,5,6,3,7,0.75,1,1,0,"Karl-Anthony Towns, Taurean Prince, Jarred Vanderbilt, Jordan McLaughlin, Patrick Beverley",6,0,2,2,2,0.75,0,2021-22,MIN,45.0,2,4
94,Patrick Beverley,201976,2,5,6,3,7,1.5,0,1,0,"Karl-Anthony Towns, Taurean Prince, Jarred Vanderbilt, Jordan McLaughlin, Patrick Beverley",6,0,2,2,2,0.75,0,2021-22,MIN,45.0,1,4
95,D'Angelo Russell,1626156,2,5,5,2,8,0.3333333333333333,3,0,0,"D'Angelo Russell, Malik Beasley, Taurean Prince, Jarred Vanderbilt, Jaden McDaniels",4,2,6,0,0,0.3333333333333333,0,2021-22,MIN,30.0,3,6
96,Malik Beasley,1627736,2,5,5,2,8,1.0,1,0,0,"D'Angelo Russell, Malik Beasley, Taurean Prince, Jarred Vanderbilt, Jaden McDaniels",4,2,6,0,0,0.3333333333333333,0,2021-22,MIN,30.0,1,6
97,Taurean Prince,1627752,2,5,5,0,8,0.0,1,0,0,"D'Angelo Russell, Malik Beasley, Taurean Prince, Jarred Vanderbilt, Jaden McDaniels",4,2,6,0,0,0.3333333333333333,0,2021-22,MIN,0.0,1,6
98,Jarred Vanderbilt,1629020,2,5,5,0,8,0.0,1,0,0,"D'Angelo Russell, Malik Beasley, Taurean Prince, Jarred Vanderbilt, Jaden McDaniels",4,2,6,0,0,0.3333333333333333,0,2021-22,MIN,0.0,1,6
99,Jaden McDaniels,1630183,2,5,5,0,8,0.0,0,0,0,"D'Angelo Russell, Malik Beasley, Taurean Prince, Jarred Vanderbilt, Jaden McDaniels",4,2,6,0,0,0.3333333333333333,0,2021-22,MIN,0.0,0,6
